unit	est	lo	hi	tokens	lines
sivapurana_karvanamahatmya_au	84.1	66.7	88.9	2706	170
sivapurana_rudrasamhita	33.3	31.7	36.5	105230	1645
sivapurana_sanatkumarasamhita	78.6	69.4	84.1	32066	1003
sivapurana_satarudrasamhita_au	38.9	31.7	44.9	10379	649
sivapurana_umasamhita	66.7	63.5	69.8	26305	1645
sivapurana_vayaviyasamhita_au	88.1	85.7	88.9	40180	1256
sivapurana_vidyesvarasamhita_au	100.0	100.0	100.0	16350	1022
skandamahapurana_himavatkhanda	51.6	46.8	56.3	22437	1403
skandamahapurana_kasikhanda	73.8	68.3	77.8	132756	1660
skandamahapurana_revakhanda	56.3	52.0	57.9	65925	1374
skandamahapurana_sutasamhita_khanda-4	99.2	97.6	100.0	23132	1446
skandapurana	26.2	22.2	27.8	100395	1569
skandapurana_adhyaya-1-31_pu	31.7	28.6	34.9	16306	1020
skandapurana_pasupata_adhyaya174-183_u	95.2	88.9	97.6	4731	296
vamanapurana_saromahatmya_u	50.8	43.7	57.1	11429	715
vamanapurana_u	31.0	28.6	33.3	47989	1500
vayu_ba	54.0	50.8	57.1	68210	1422
vayupurana	58.7	57.1	61.9	109719	1715
vayupurana_01_frame-and-cosmogony_iast	77.8	66.7	84.1	9613	601
vayupurana_02_pashupata-yoga_iast	92.9	88.9	96.8	3198	200
vayupurana_03_kalpas-and-shiva-lineages_iast	52.4	45.2	57.1	13042	816
vayupurana_04_bhuvana-vinyasa_iast	69.0	65.1	77.8	10778	674
vayupurana_05_jyotis-and-purvardha-close_iast	71.4	65.1	81.7	13910	870
vayupurana_06_prthu-and-prajapati-lineages_iast	47.6	42.1	53.2	13603	851
vayupurana_07_shraddha-kalpa_iast	83.3	71.4	85.7	9750	610
vayupurana_08_manu-candra-vishnu-vamsha_iast	23.0	21.4	27.8	20373	1274
vayupurana_09_upasamhara_iast	80.2	68.3	85.7	8976	561
vayupurana_10_gaya-mahatmya_iast	82.5	67.5	85.7	6451	404
vayupurana_revakhanda	62.7	57.9	65.1	73003	1521
visnudharma_pu	76.2	66.7	81.0	42898	1341
visnudharmottarapurana_khanda-3_adhyaya-343-353_pu	37.3	27.8	43.7	2777	174
visnupurana_amsa-1_u	48.4	43.7	54.8	12790	800
visnupurana_amsa-2_u	67.5	64.3	81.0	7119	445
visnupurana_amsa-3_u	85.7	77.0	87.3	7822	489
visnupurana_amsa-4_u	38.9	34.9	43.7	9430	590
visnupurana_amsa-5_u	27.8	22.2	27.8	14075	880
visnupurana_amsa-6_u	74.6	63.5	84.9	4568	286
visnupurana_u	49.2	45.2	52.4	55802	1744
